ano,pib_sc,pib_granflor,pib_oeste,pib_norte,pib_serrana,pib_vale,pib_sul
2004,0.06376197047610432,0.05553760639626604,0.047278851833880475,0.07521339208268452,0.028479569535000193,0.08942312262021979,0.045840850101512176
2005,0.03265419669213543,0.02883327146369874,0.024730305430638477,0.031953422977462065,0.016663293194925766,0.047713763567871714,0.026005462704218996
2006,0.019283057862129027,0.01756349119597167,0.015188004705341651,0.01389787938856335,0.011626080269003358,0.0302800521933535,0.017595587507260646
2007,0.059319714895305964,0.05168216159446026,0.0440287557376251,0.06892651747208878,0.02678381176302591,0.08336682021873787,0.04298501586947112
2008,0.02029921110627697,0.018415598124933652,0.015910051214959475,0.015258866837517981,0.01200801053784839,0.031594698187030534,0.01823227707721342
2009,-0.008502151854955287,-0.005461858521303209,-0.004357663545369261,-0.0226175801021532,0.001238431532523565,-0.005024995213977812,0.0003396797415946562
2010,0.06497824376351247,0.05659567554941791,0.04817047921941353,0.07694115405509261,0.028944349966119498,0.09108721191368319,0.04662412973406105
2011,0.038093974229795435,0.033453794412655835,0.028638017585728814,0.03939064761851219,0.018719752088125707,0.05489045671227766,0.029446707727027954
2012,0.013360385765473382,0.01261113556394422,0.010989741127094277,0.006001561810895506,0.009402857741414694,0.022650879934760004,0.013892542552741638
2013,0.03551512575496574,0.03126075074230439,0.02678362481695129,0.03585820619188529,0.017744323603418044,0.051482076605551486,0.027813871882542474
2014,0.02222278206713213,0.020030584907571924,0.017278286699036416,0.017840210950120117,0.012731396735136569,0.034087908914396614,0.01943861697245919
2015,-0.03488532361029684,-0.026842923941857277,-0.022568633304258845,-0.05607249382115698,-0.008526315091992198,-0.03742812048573674,-0.015774577691192837
2016,-0.021113467110101425,-0.015740117243793317,-0.01310456286775774,-0.03875463090326858,-0.003441116417570944,-0.020647758387567827,-0.007395684759803234
2017,0.04141732207705573,0.036286836688907975,0.03103270313055506,0.04396065596654353,0.019978160208097506,0.05929911552545164,0.03155476029823334
2018,0.048727468262413254,0.04254585017630119,0.03631976917606217,0.05408383145152129,0.02275166943185125,0.06906149356991209,0.036206905872719464
2019,0.036377083744739025,0.03199323850878777,0.02740306744757426,0.03703755669755293,0.01807024824993153,0.05262007138514835,0.028359344902594508
2020,-0.025461084618751073,-0.01925876075227584,-0.016102117922312975,-0.044255727665337585,-0.005049266329660962,-0.02597648498002081,-0.010048481554573607
2021,0.08178879039698828,0.07132872653531819,0.06057201502040521,0.10110749903433458,0.03538980095539901,0.11434924514788847,0.05751039595099927
2022,0.009872608379424719,0.009706047302082021,0.008525570451901832,0.001380334042698994,0.008095920102041632,0.018184625522472242,0.011718179473440449
2023,0.03147337058942057,0.027833015059650856,0.023884011519182957,0.030346048868889586,0.01621744118724444,0.04616236193838352,0.025259983938512143
2024,0.05448818528407173,0.047504850649094266,0.040505304055532765,0.062130451064123626,0.02494262911654177,0.07681802180366937,0.03988777800422749
2025,0.020456332636516805,0.018547417862986748,0.01602174266218892,0.015469470979765143,0.012067078938050368,0.0317981235065794,0.018330760026114223
2026,0.01063340603478835,0.010339029962060264,0.009062573517765404,0.002386560441563823,0.008380861320432809,0.01915719452841702,0.012192080770040414
2027,0.029597433383091953,0.026245941907151904,0.022540970873257793,0.027797616323220975,0.015509533685176047,0.043702426675946926,0.02407678146875991
2028,0.029908496779874838,0.02650893697366663,0.022763548741811634,0.028219754922466977,0.015626883089955967,0.044109926814155154,0.0242728827770744
2029,0.02762690406618873,0.024581481295963936,0.021132105977412774,0.02512746952626599,0.014766461765819194,0.0411246807020651,0.022835387753016745
2030,0.027264370794050308,0.02427555196038389,0.020873117877102887,0.02463697834906431,0.014629812400920317,0.04065112702467277,0.02260716305421373
