ano,pib_sc,pib_granflor,pib_oeste,pib_norte,pib_serrana,pib_vale,pib_sul
2004,0.06376197047610432,0.053507337142786326,0.045737706377761755,0.07641628331731498,0.03103674151274327,0.0905378648840296,0.04516994354574888
2005,0.03265419669213898,0.026446919256442936,0.022797401283392915,0.03400909950809927,0.017368158993189997,0.04876665945500447,0.025249388612963886
2006,0.019283057862129027,0.015030112327894862,0.013092201062223419,0.01629840634756774,0.01154877973539592,0.031307326453238415,0.01680398132950578
2007,0.05931971489530241,0.04959982144202835,0.042430556812365294,0.07025562696219412,0.029073656573966433,0.08447253507802,0.042301730231319334
2008,0.02029921110627697,0.015893267762521646,0.013826513168589738,0.017633631621587487,0.01198985823562393,0.03262389973676716,0.01744334879992837
2009,-0.008502151854955287,-0.008289517561552717,-0.0067816847498278765,-0.019540229488812177,-0.0004376485966761656,-0.004049181196410845,-0.0005237405809902507
2010,0.06497824376351247,0.054579735066029755,0.04664502000612414,0.07810922376267837,0.0315748796929709,0.09220443740441886,0.04595662526142963
2011,0.038093974229795435,0.03112828308769311,0.02677232188990364,0.04130235783747027,0.019745225491298646,0.055953939547483955,0.02870527272442458
2012,0.013360385765473382,0.010013765835944488,0.008822818138749522,0.008550805848251963,0.008981766767816701,0.023666985276389108,0.013085401037257416
2013,0.03551512575496929,0.028906321940466162,0.024885999561170324,0.03783843440263679,0.0186176322484215,0.05254052858663183,0.027065483587531025
2014,0.022222782067128577,0.0175292253107584,0.015218018547820122,0.020166009035114563,0.012825343446834836,0.03512076770336625,0.018654767996323818
2015,-0.03488532361029684,-0.02993636549371348,-0.02529176276568157,-0.05239999102703696,-0.011687752645228366,-0.03649902039393971,-0.016703715689789456
2016,-0.021113467110101425,-0.018696451946465742,-0.015673062322439812,-0.035387174447527925,-0.005831153950711432,-0.019694529685249873,-0.008290815183888744
2017,0.04141732207705573,0.0339987899466363,0.02920833593812011,0.04578335200795469,0.021200189676857217,0.06036911330737915,0.030822321434690547
2018,0.048727468262413254,0.04034100400101304,0.034587030445957234,0.05570786888689283,0.02440788656119275,0.07014594838417709,0.035494396365699066
2019,0.036377083744739025,0.02964846015985856,0.025516100738157466,0.03899493715274449,0.01899438182599611,0.05368020249972405,0.02761327801417357
2020,-0.025461084618751073,-0.02225876025291884,-0.01871978462733448,-0.04079066096877182,-0.007683754122626452,-0.025030933211710904,-0.010954417386565551
2021,0.08178875773027983,0.06951399827517069,0.059266230899959416,0.1017824689289526,0.039041497829349625,0.1155012612834363,0.05689045629637879
2022,0.020219714264857913,0.01582571396004484,0.013769046453630418,0.017529109557433253,0.011955344353602682,0.03252083952378526,0.017393314593533216
2023,0.023659558848848405,0.018752892977155877,0.016258624398679977,0.022061633426399663,0.013449844105176023,0.03698969649451178,0.019560556748388747
2024,0.05461235111824436,0.04547492537575426,0.038937453780673925,0.06376578447522507,0.02699749599767398,0.0780820438775156,0.03927093483718247
2025,0.024827684686755447,0.019748841677529105,0.01710544207814424,0.02360540648347431,0.013957858361510311,0.03851165650093069,0.020297573167782357
2026,0.011838767460936594,0.008729003082054598,0.007728861256870445,0.00656989190284718,0.008323317258483343,0.021713229344246132,0.012132242850320107
2027,0.027033483939682412,0.021632170796245243,0.018706432397147532,0.02652691088194925,0.014917848079614604,0.041391703209975095,0.021690751658453244
2028,0.031190802321287237,0.025191183183676413,0.021730707919181746,0.03205582097944104,0.0167296332944038,0.04684152081865678,0.024321679291106957
2029,0.02809250252743567,0.02253760481006517,0.019475973422005355,0.027932505362756377,0.01537906827678892,0.04277726887268085,0.022360301473230093
2030,0.026179983365931747,0.020903032955824186,0.01808665478679905,0.025395491360290956,0.014546286859726587,0.04027636668755874,0.021151456876739916
