ano,pib_sc,pib_granflor,pib_oeste,pib_norte,pib_serrana,pib_vale,pib_sul
2004,0.13848206124330176,0.13904555522948492,0.1358914580624906,0.1508304092781736,0.12836542701727294,0.16738126901469652,0.13717726366730587
2005,0.10230426419828831,0.10665721694887509,0.10301924590156553,0.10400200332899501,0.09668330471747222,0.11802300536162047,0.10506707795588133
2006,0.11034956674014751,0.11377924416554808,0.11024620491348158,0.11424826095239715,0.10365103899329164,0.12881578251963277,0.1121285032616457
2007,0.13021647701138406,0.13156319386527127,0.12829579802522129,0.13995937235640876,0.1210472462103438,0.15591566319958727,0.1297597405055142
2008,0.15795404755301234,0.1568685862217818,0.1539879786524201,0.17685184750522098,0.1457949222132915,0.19484339442544574,0.1548444682654122
2009,0.06084892139177356,0.07067482567070105,0.06651963622906676,0.05268040798424911,0.06147163939771949,0.06402491804043842,0.06938591481174217
2010,0.17459588225301914,0.17232199327137443,0.1696825842347418,0.1995570086322911,0.16090434746661808,0.21882547503222272,0.17016121009910345
2011,0.12427601608631988,0.12621600913798092,0.12286819986297903,0.13220985649806027,0.11581701417412149,0.14774496667796977,0.12445867964214918
2012,0.0969774281313498,0.10196676328686238,0.09826014325121735,0.09726980213830605,0.09209415447026648,0.1109338940507365,0.10041636064548198
2013,0.11194154658993938,0.11519395194608073,0.11168185549015042,0.11628700157551841,0.10503503066100994,0.1309637404057753,0.11353113516331703
2014,0.12285493883389265,0.12494060524209316,0.12157368436499372,0.13036383921489403,0.1145694590661841,0.14579894846269825,0.12319425093896252
2015,0.026550915615171533,0.041790923405037095,0.03723650821922786,0.012027942345100406,0.03319554068248687,0.021326703140306824,0.04073770194045112
2016,0.03034835627324739,0.044950170688381696,0.040438716403790265,0.01645052693038762,0.03628878902288002,0.02596857335693259,0.043871440490965474
2017,0.07687154040152677,0.08444129789776911,0.08048141950135013,0.0722272569091682,0.07494499189862736,0.08457903796604116,0.08303812510275699
2018,0.07286262909082097,0.08098036687263788,0.07697108454477308,0.06730278676770474,0.07155795793580699,0.07939938334046559,0.0796060356067041
2019,0.08061367034723332,0.08768191251290536,0.08376847612752458,0.07684451928891134,0.07811628888648414,0.08943642857288903,0.0862516640809543
2020,0.07739074080470942,0.08489033823204917,0.08093688458554471,0.07286669243876442,0.07538443432795838,0.08525167862821514,0.08348341770488377
2021,0.20459654059973786,0.20070359393408932,0.19851684658344193,0.2416005300493138,0.1886476161715298,0.2632811315737782,0.19828811323803253
2022,0.0843174975266976,0.0908988932436483,0.08703173473611048,0.08143409993862494,0.08126433859464988,0.09426552220357887,0.08944169978224581
2023,0.09626790342453262,0.10134350572300521,0.09762779119739906,0.09637618913569934,0.09148433920220977,0.109993036174868,0.09979837265798874
2024,0.05448818528406818,0.06525832885633709,0.061027177676419075,0.04501978123722483,0.056169869369649295,0.055973671608941844,0.06401403615124601
2025,0.12781503153070872,0.1293985313480599,0.12609852650622666,0.13682024533892467,0.11892996679005141,0.15260565872032794,0.1276137713344807
2026,0.051199917053299515,0.06246895107333872,0.05819887741496821,0.041081402049538696,0.053439439658210075,0.0518353884553564,0.061247560582397
2027,0.0626869682552531,0.07224514089661738,0.0681120675280189,0.0549045214577526,0.06300862988714129,0.06636287940025487,0.07094325871821394
2028,0.05649684381873854,0.06696583891622043,0.06275857990551703,0.047432890591882604,0.057841249615657064,0.05850957329169071,0.06570750143916171
2029,0.06051523868099906,0.07038999424354819,0.06623079778859808,0.05227714117484372,0.061192849501150004,0.06360102993028383,0.06910343445868383
2030,0.05801819205133185,0.06826092003687334,0.06407181562724751,0.04926427566361591,0.05910890495062371,0.06043430511383363,0.06699191737631005
